feedtype,feedurl
system_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_wk/en/system_information.json
station_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_wk/en/station_information.json
station_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_wk/en/station_status.json
free_bike_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_wk/en/free_bike_status.json
system_hours,https://germany.nextbike.net/maps/gbfs/v1/nextbike_wk/en/system_hours.json
system_regions,https://germany.nextbike.net/maps/gbfs/v1/nextbike_wk/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ee/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ee/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ee/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ee/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ee/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ee/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_el/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_el/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_el/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_el/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_el/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_el/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ft/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ft/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ft/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ft/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ft/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ft/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_bu/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_bu/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_bu/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_bu/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_bu/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_bu/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_eu/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_eu/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_eu/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_eu/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_eu/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_eu/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_du/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_du/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_du/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_du/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_du/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_du/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_uc/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_uc/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_uc/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_uc/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_uc/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_uc/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_gg/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_gg/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_gg/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_gg/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_gg/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_gg/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_uk/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_uk/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_uk/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_uk/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_uk/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_uk/en/system_regions.json
system_information,https://santander.nextbike.net/maps/gbfs/v1/nextbike_ku/en/system_information.json
station_information,https://santander.nextbike.net/maps/gbfs/v1/nextbike_ku/en/station_information.json
station_status,https://santander.nextbike.net/maps/gbfs/v1/nextbike_ku/en/station_status.json
free_bike_status,https://santander.nextbike.net/maps/gbfs/v1/nextbike_ku/en/free_bike_status.json
system_hours,https://santander.nextbike.net/maps/gbfs/v1/nextbike_ku/en/system_hours.json
system_regions,https://santander.nextbike.net/maps/gbfs/v1/nextbike_ku/en/system_regions.json
system_information,https://santander.nextbike.net/maps/gbfs/v1/nextbike_uu/en/system_information.json
station_information,https://santander.nextbike.net/maps/gbfs/v1/nextbike_uu/en/station_information.json
station_status,https://santander.nextbike.net/maps/gbfs/v1/nextbike_uu/en/station_status.json
free_bike_status,https://santander.nextbike.net/maps/gbfs/v1/nextbike_uu/en/free_bike_status.json
system_hours,https://santander.nextbike.net/maps/gbfs/v1/nextbike_uu/en/system_hours.json
system_regions,https://santander.nextbike.net/maps/gbfs/v1/nextbike_uu/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_gd/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_gd/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_gd/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_gd/en/free_bike_status.json
